# status	library	note
# upstream	https://www.boost.org/users/history/version_1_62_0.html
included	chrono	Compiled date and time duration support, including the 1.62 fixes.
included	date_time	Compiled date/time and locale facets.
included	filesystem	Portable filesystem operations used by the addon examples.
included	graph	Compiled Graph library algorithms.
included	locale	Localization backends available without optional ICU packaging.
included	random	Compiled random_device implementation.
included	regex	Regular-expression engine with the 1.62 safety and correctness fixes.
included	signals	Legacy Boost.Signals compatibility for existing projects.
included	system	Error-code support required by several compiled libraries.
included	thread	Portable threading primitives with the 1.62 future, barrier and lock fixes.
excluded	atomic	Not selected initially; compiler intrinsics cover common arm64 operations, but the fallback library may be added later.
excluded	container	Not selected; 1.62 adds useful map and node APIs, making it a candidate for an expanded build.
excluded	context	Requires architecture-specific assembly and dedicated device and Simulator runtime tests.
excluded	coroutine	Deprecated in 1.62 in favour of Coroutine2 and depends on Boost.Context.
excluded	coroutine2	Depends on Boost.Context and requires the same architecture-specific testing.
excluded	exception	Predominantly header-based; no compiled binary selected.
excluded	fiber	New in 1.62; depends on Boost.Context and needs device and Simulator runtime tests before inclusion.
excluded	graph_parallel	Depends on MPI and is not appropriate for a normal iOS application.
excluded	iostreams	Not yet packaged; compression filters also require explicit zlib/bzip2 dependency handling.
excluded	log	Large dependency surface and desktop-oriented backends require an iOS-specific configuration and tests.
excluded	math	Not selected initially; useful scientific compiled components may be added after size and link testing.
excluded	metaparse	Predominantly header-based; no compiled binary selected.
excluded	mpi	Requires an MPI runtime, which is not appropriate for a normal iOS application.
excluded	program_options	Command-line parsing is of limited use in a normal iOS application.
excluded	python	Requires a separately packaged Python runtime.
excluded	serialization	Not selected initially; a strong candidate for an expanded build.
excluded	test	Intended for test executables rather than the shipped application library.
excluded	timer	Not selected initially; a small candidate for an expanded build.
excluded	type_erasure	Predominantly header-based; no compiled binary selected.
excluded	wave	Large C/C++ preprocessing toolchain not normally needed at iOS application runtime.
