# status	library	note
# upstream	https://www.boost.org/users/history/version_1_63_0.html
included	chrono	Compiled date and time duration support with the 1.63 maintenance fixes.
included	date_time	Compiled date/time and locale facets.
included	filesystem	Portable filesystem operations used by the addon examples.
included	graph	Compiled Graph library algorithms.
included	locale	Localization backends available without optional ICU packaging.
included	random	Compiled random_device implementation.
included	regex	Regular-expression engine with the 1.63 maintenance fixes.
included	signals	Legacy Boost.Signals compatibility for existing projects.
included	system	Error-code support required by several compiled libraries.
included	thread	Portable threading primitives with the 1.63 maintenance fixes.
excluded	atomic	The new is_always_lock_free API is tested header-only for native arm64/x86_64 operations; the fallback compiled library remains excluded.
excluded	container	Not selected; useful for iOS, but requires an explicit size and API expansion decision.
excluded	context	Requires architecture-specific assembly and dedicated device and Simulator runtime tests.
excluded	coroutine	Deprecated in favour of Coroutine2 and depends on Boost.Context.
excluded	coroutine2	Depends on Boost.Context and requires the same architecture-specific testing.
excluded	exception	Predominantly header-based; no compiled binary selected.
excluded	fiber	Depends on Boost.Context and needs device and Simulator runtime tests before inclusion.
excluded	graph_parallel	Depends on MPI and is not appropriate for a normal iOS application.
excluded	iostreams	Not yet packaged; compression filters also require explicit zlib/bzip2 dependency handling.
excluded	log	Large dependency surface and desktop-oriented backends require an iOS-specific configuration and tests.
excluded	math	Not selected initially; useful scientific compiled components may be added after size and link testing.
excluded	metaparse	Predominantly header-based; no compiled binary selected.
excluded	mpi	Requires an MPI runtime, which is not appropriate for a normal iOS application.
excluded	program_options	Command-line parsing is of limited use in a normal iOS application.
excluded	python	Requires a separately packaged Python runtime.
excluded	serialization	Not selected initially; a strong candidate for an expanded build.
excluded	test	Intended for test executables rather than the shipped application library.
excluded	timer	Not selected initially; a small candidate for an expanded build.
excluded	type_erasure	Predominantly header-based; no compiled binary selected.
excluded	wave	Large C/C++ preprocessing toolchain not normally needed at iOS application runtime.
