# status	library	note
# upstream	https://www.boost.org/users/history/version_1_61_0.html
included	chrono	Compiled date and time duration support.
included	date_time	Compiled date/time and locale facets.
included	filesystem	Portable filesystem operations used by the addon examples.
included	graph	Compiled Graph library algorithms.
included	locale	Localization backends available without optional ICU packaging.
included	random	Compiled random_device implementation.
included	regex	Regular-expression engine used by the addon examples.
included	signals	Legacy Boost.Signals compatibility for existing projects.
included	system	Error-code support required by several compiled libraries.
included	thread	Portable threading primitives.
excluded	atomic	Not selected initially; compiler intrinsics cover common arm64 operations, but the fallback library may be added later.
excluded	container	Not selected in the original compiled-library set.
excluded	context	Requires architecture-specific assembly and dedicated device and Simulator runtime tests.
excluded	coroutine	Depends on Boost.Context and requires the same architecture-specific testing.
excluded	coroutine2	Depends on Boost.Context and requires the same architecture-specific testing.
excluded	exception	Predominantly header-based; no compiled binary selected.
excluded	graph_parallel	Depends on MPI and is not appropriate for a normal iOS application.
excluded	iostreams	Not yet packaged; compression filters also require explicit zlib/bzip2 dependency handling.
excluded	log	Large dependency surface and desktop-oriented backends require an iOS-specific configuration and tests.
excluded	math	Not selected initially; useful scientific compiled components may be added after size and link testing.
excluded	metaparse	Predominantly header-based; no compiled binary selected.
excluded	mpi	Requires an MPI runtime, which is not appropriate for a normal iOS application.
excluded	program_options	Command-line parsing is of limited use in a normal iOS application.
excluded	python	Requires a separately packaged Python runtime.
excluded	serialization	Not selected initially; a strong candidate for the next expanded build.
excluded	test	Intended for test executables rather than the shipped application library.
excluded	timer	Not selected initially; a small candidate for the next expanded build.
excluded	type_erasure	Predominantly header-based; no compiled binary selected.
excluded	wave	Large C/C++ preprocessing toolchain not normally needed at iOS application runtime.
